Split,Eval Mode,Model,n_early,Features,R²,MAE,RMSE,MAPE,Cell R²,Train (s),Predict (s),n_train,n_test
combined_80_20,combined,XGBoost,3,all,0.8759077539411118,0.03243724126300864,0.04979905259700605,4.746626980722341,0.8626001095832376,24.68,1.1159,217,55
combined_80_20,combined,GradBoost,3,all,0.8847091696656672,0.03067065640356773,0.04800054202055984,4.586959497863702,0.8745971918220203,369.47,0.9882,217,55
combined_80_20,combined,LightGBM,5,top3,0.790835144656673,0.041640037202770215,0.06458531194486453,6.044664994480675,0.7733010651299068,10.03,1.2348,217,55
combined_80_20,combined,XGBoost,5,top3,0.8125301216629511,0.03962083857174559,0.06114418393644138,5.747620929294679,0.7984357971963539,5.18,1.1399,217,55
combined_80_20,combined,GradBoost,5,top3,0.8247032496633951,0.03789468599526153,0.05912570563569918,5.559745130139582,0.8145369438722079,114.21,1.1249,217,55
combined_80_20,combined,LightGBM,5,top5,0.9002076016350736,0.02820051327114623,0.044610607194951385,4.225845318960561,0.8864017416668524,12.37,1.3431,217,55
combined_80_20,combined,XGBoost,5,top5,0.8928992416633242,0.030429516259903065,0.04621528943095434,4.527003626218876,0.8763122589149066,6.55,1.254,217,55
combined_80_20,combined,GradBoost,5,top5,0.9101912138557655,0.026501612168145942,0.04232030778195241,3.9562796791947457,0.8923507042740269,138.18,0.8809,217,55
combined_80_20,combined,LightGBM,5,top10,0.8952893309720418,0.02890371653263213,0.04569670347071741,4.3242986471774225,0.8871966006851612,20.66,1.2808,217,55
combined_80_20,combined,XGBoost,5,top10,0.8929663857233479,0.02916605145854462,0.04620080041744212,4.350869892109921,0.8819430692755637,8.27,1.2542,217,55
combined_80_20,combined,GradBoost,5,top10,0.8907768231901727,0.030065670453364293,0.04667096774635937,4.439754729032623,0.8779554675921517,164.72,0.7076,217,55
combined_80_20,combined,LightGBM,5,top20,0.8907757338780765,0.029870509005570478,0.046671200476831216,4.43848334836378,0.8818426328987311,19.57,1.2003,217,55
combined_80_20,combined,XGBoost,5,top20,0.886973969295339,0.03050466875489401,0.04747649424552347,4.49275249242262,0.8735142053321627,13.76,1.2688,217,55
combined_80_20,combined,GradBoost,5,top20,0.8857848711614879,0.030358897010902414,0.04772558068923222,4.499476239689879,0.8710513375444792,251.69,0.8285,217,55
combined_80_20,combined,LightGBM,5,all,0.885989427101217,0.030699353113145145,0.047682823980311616,4.561051262087619,0.8759022209096873,26.04,1.1913,217,55
combined_80_20,combined,XGBoost,5,all,0.8702834795444951,0.03305251118943469,0.05086125234951598,4.817404300826548,0.8565897563900066,23.61,1.2466,217,55
combined_80_20,combined,GradBoost,5,all,0.8845770999096194,0.030823362894037698,0.04797725488583529,4.575922720150008,0.8722378361051945,356.52,0.8647,217,55
combined_80_20,combined,LightGBM,10,top3,0.8076981357446236,0.04071678881870204,0.06181513511946086,5.9397397706329995,0.7953419255063947,9.74,1.1784,217,55
combined_80_20,combined,XGBoost,10,top3,0.8098549065511869,0.0396874158120698,0.06146751236581977,5.790213180331906,0.7951775982733851,5.17,1.1457,217,55
combined_80_20,combined,GradBoost,10,top3,0.8222680732107626,0.03815479079618235,0.05942727277962885,5.57727016393716,0.8080901917414296,113.8,1.078,217,55
combined_80_20,combined,LightGBM,10,top5,0.8999134379796753,0.028458022774732812,0.04459549217785048,4.262388281546792,0.8838904431238924,14.16,1.5154,217,55
combined_80_20,combined,XGBoost,10,top5,0.892516361747163,0.030112026084331087,0.046214073949355665,4.452927479791728,0.8707267775035783,6.44,1.1895,217,55
combined_80_20,combined,GradBoost,10,top5,0.8918719028954848,0.029031400519292577,0.046352413881533036,4.3831034980674906,0.875645784381808,132.82,0.9954,217,55
combined_80_20,combined,LightGBM,10,top10,0.8852034198237103,0.030388452849787497,0.047760355513734816,4.522933121420985,0.8776143341125165,14.97,1.3995,217,55
combined_80_20,combined,XGBoost,10,top10,0.8786197488552394,0.03078927153758871,0.04911080936324766,4.547490486716179,0.867775527690597,8.79,1.3287,217,55
combined_80_20,combined,GradBoost,10,top10,0.887525677517427,0.03041506267343749,0.047274807437281574,4.528964584646408,0.8756032361778988,177.32,1.1831,217,55
combined_80_20,combined,LightGBM,10,top20,0.8813693785691736,0.03077261992444266,0.048551368793483624,4.566542052750936,0.8693172243897801,20.23,1.2151,217,55
combined_80_20,combined,XGBoost,10,top20,0.8818001914935498,0.030789284273914145,0.04846313027059771,4.552004016888439,0.8711458708100398,14.29,1.2235,217,55
combined_80_20,combined,GradBoost,10,top20,0.8913229265555181,0.029963087678128855,0.0464699326510751,4.475940828079512,0.8781505255866129,260.04,0.7246,217,55
combined_80_20,combined,LightGBM,10,all,0.859895690898317,0.0343189806408751,0.05276291997976034,5.0317814474434925,0.8470586220716176,29.74,1.2137,217,55
combined_80_20,combined,XGBoost,10,all,0.8646094349120383,0.03340060750079851,0.05186773413803943,4.856258302002021,0.8521314878861401,24.22,1.1545,217,55
combined_80_20,combined,GradBoost,10,all,0.8856568579038306,0.031321395247206174,0.04766593723281114,4.6759805755829165,0.864908420248157,357.28,0.6519,217,55
combined_80_20,combined,LightGBM,15,top3,0.8018895345063494,0.041255419447956306,0.06259595336216159,6.015142980185588,0.788231136643096,10.69,1.1544,217,55
combined_80_20,combined,XGBoost,15,top3,0.7999976819368919,0.0408053685604309,0.06289412271640271,5.951137010999679,0.7814534503396028,4.84,1.0667,217,55
combined_80_20,combined,GradBoost,15,top3,0.8145815057746524,0.0390142512851936,0.06055765842700482,5.736684026347214,0.7998775633448866,109.62,0.8434,217,55
combined_80_20,combined,LightGBM,15,top5,0.9007447927495982,0.028419240575953672,0.0443066790587249,4.252202451629085,0.8837988892935361,11.93,1.2952,217,55
combined_80_20,combined,XGBoost,15,top5,0.8937360695336648,0.029793422710558858,0.045844314881419886,4.447595726541452,0.8739837723393417,6.14,1.1317,217,55
combined_80_20,combined,GradBoost,15,top5,0.9051465910917851,0.026914249802897895,0.04331307533783171,3.9948641537430967,0.8859166219307708,134.65,0.9876,217,55
combined_80_20,combined,LightGBM,15,top10,0.8874554256177857,0.029783549981612437,0.04717966258792234,4.430079009047782,0.8816888671090332,13.12,1.2392,217,55
combined_80_20,combined,XGBoost,15,top10,0.8760701550593473,0.031008335767773003,0.04950858366213137,4.5763568330767095,0.8682894339200055,8.98,1.1282,217,55
combined_80_20,combined,GradBoost,15,top10,0.8967491906076042,0.028606305993304684,0.04518968161359225,4.243213570082566,0.8836332189478748,172.56,0.7834,217,55
combined_80_20,combined,LightGBM,15,top20,0.8807115774927697,0.03134758846603367,0.04857263866847165,4.614987504048988,0.869290075819725,18.19,1.2534,217,55
combined_80_20,combined,XGBoost,15,top20,0.8804100203268362,0.03121657063526146,0.04863399492409618,4.607561758600462,0.8708110525161906,13.21,1.1072,217,55
combined_80_20,combined,GradBoost,15,top20,0.8784812676258665,0.03160499528647466,0.0490246119067389,4.745629073390456,0.859718398252568,236.27,0.666,217,55
